Field,Data
Population,2518712.0000
Weights,0.06
Liberal Size,0.4082
Liberal Trust in Government,0.5994
Conservative Size,0.5918
Conservative Trust in Government,0.4096
Capitalist Size,0.4675
Capitalist Trust in Government,0.4346
Socialist Size,0.5325
Socialist Trust in Government,0.6664
Youth Size,0.2052
Youth Trust in Government,0.6126
Adult Size,0.6375
Adult Trust in Government,0.4902
Seniors Size,0.1773
Seniors Trust in Government,0.3787
Religious Size,0.1422
Religious Trust in Government,0.4292
Non Religious Size,0.8578
Non Religious Trust in Government,0.5156
Low Income Size,0.5060
Low Income Trust in Government,0.5758
Low Income Avg Income,37701.0451
Medium Income Size,0.3557
Medium Income Trust in Government,0.5440
Medium Income Avg Income,82375.4092
High Income Size,0.1483
High Income Trust in Government,0.4409
High Income Avg Income,196295.3133
Average Income,76719.5970
Population Happiness,0.5177
GDP,1736780393460.4783
Government Asset Budget,26241477712.2788
Office,185774596856.3724
Construction,127691728652.5254
Healthcare,128707496750.2418
Manufacturing,225644644227.9081
Real Estate,119443479878.6033
Finance,107499969795.9561
Retail,133323047715.3210
Agriculture,99818938981.8698
Forestry,13526590776.9415
Fishing,22910822764.7257
Defence,69695059731.4900
Information,78232063616.7268
Transport,76304089651.1207
Electricity,55820477944.2568
Water,13354506821.2796
Mining,15366599555.1060
Education,81886593450.3398
Other,181779686289.6935
Public Service,"149,622,704.00"
Illicit,"1,793,610,292.00"
Colonial Holdings,0.00
Foreign Trade,0.00
Unemployment,0.0292
Productivity,1214.7763
Financial Malpractice,0.0000
Poverty Rate,0.1664
Life Expectancy,87.1478
Pop Growth Rate,0.0555
Homeownership Rate,0.6877
Crime Rate,0.0204
Primary Education,1.0056
Secondary Education,0.7215
Tertiary Education,0.5125
Inflation,0.0328
Big Mac Index,11.0975
Consumer Spending,1821560224490.9014
Police Stations needed,8.0000
Power Consumer,1.0000
Internet Towers Needed,1.0000
Communication Towers Needed,1.0000
Hospitals Needed,1.0000
Police Stations,0
Power Produced,0
Internet Towers,0
Communication Towers,0
Hospitals,0
