Field,Data
Population,826717.0000
Weights,0.02
Liberal Size,0.2464
Liberal Trust in Government,0.6012
Conservative Size,0.7536
Conservative Trust in Government,0.4774
Capitalist Size,0.4495
Capitalist Trust in Government,0.4201
Socialist Size,0.5505
Socialist Trust in Government,0.5467
Youth Size,0.2287
Youth Trust in Government,0.4678
Adult Size,0.7344
Adult Trust in Government,0.6276
Seniors Size,0.1569
Seniors Trust in Government,0.4252
Religious Size,0.1893
Religious Trust in Government,0.3002
Non Religious Size,0.8107
Non Religious Trust in Government,0.6363
Low Income Size,0.6194
Low Income Trust in Government,0.6136
Low Income Avg Income,25967.4374
Medium Income Size,0.3514
Medium Income Trust in Government,0.5410
Medium Income Avg Income,69812.0800
High Income Size,0.1192
High Income Trust in Government,0.3753
High Income Avg Income,158812.7561
Average Income,54627.8641
Population Happiness,0.5413
GDP,556990669624.4756
Government Asset Budget,8230979288.7435
Office,59610963990.6229
Construction,40806368437.8835
Healthcare,40322905122.5125
Manufacturing,72683269436.2280
Real Estate,38428671468.0082
Finance,35130607820.2678
Retail,41862741934.7441
Agriculture,31978471650.9818
Forestry,4323611987.2685
Fishing,7476443536.5321
Defence,21921600867.4636
Information,24631295316.4297
Transport,24831862811.0064
Electricity,18087247140.1271
Water,4340187526.5487
Mining,4914836917.0361
Education,26488983473.5623
Other,59150600187.2523
Public Service,"49,874,234.80"
Illicit,"597,870,097.22"
Colonial Holdings,0.00
Foreign Trade,0.00
Unemployment,0.0199
Productivity,912.9608
Financial Malpractice,0.0000
Poverty Rate,0.1138
Life Expectancy,85.0887
Pop Growth Rate,0.0332
Homeownership Rate,0.6978
Crime Rate,0.0211
Primary Education,0.9977
Secondary Education,0.7222
Tertiary Education,0.5254
Inflation,0.0345
Big Mac Index,11.1083
Consumer Spending,566660548444.5206
Police Stations needed,3.0000
Power Consumer,0.0000
Internet Towers Needed,0.0000
Communication Towers Needed,0.0000
Hospitals Needed,0.0000
Police Stations,0
Power Produced,0
Internet Towers,0
Communication Towers,0
Hospitals,0
